Course Title,University,Scholarships Available,No. of places on course - 16/17,No of TDL Places - 16/17,Data Lab MSc,Course Director,Course leader,Industry Placement,Programming Languages Taught,Core Modules Taught,Duration of Full-Time Study,Part Time Study,Part Time Study Duration,Minimum Entry Requirements,Degree Required,Online only,Link to Webpage,HTML Format Link
Business Information Technology MSc,Edinburgh Napier University,"SFC Tuition Support, Santader Masters Scholarship, Carnegie Cameron Taught Postgraduate Bursary, Sutherland Page Trust",,,No,,Peter Cruickshank,No,SQL,"Information Systems Engineering, Security, Audit and Compliance, Enterprise Information with SAP, Management of Software Projects, Database Systems and Computer Systems, Digital Business Environments, Web Design and Development",12 months,Yes,24 months,2:2 or above,"Degree with some computing, information systems or business component",,http://www.napier.ac.uk/courses/msc-business-information-technology-postgraduate-fulltime,"<a href=""http://www.napier.ac.uk/courses/msc-business-information-technology-postgraduate-fulltime"" target=""_blank"" >Business Information Technology MSc</a>"
Advanced Security and Cybercrime,Edinburgh Napier University,"Santader Masters Scholarship, Carnegie Cameron Taught Postgraduate Bursary, Sutherland Page Trust",,,No,,Dr Gordon Russell,No,"AWS, VMWare ESXI","Host-Based Forensics, Network Security, Security, Audit and Compliance",,Yes,18 months,2:2 or above,Background in computing and 2 years relevent work experience,,http://www.napier.ac.uk/courses/msc-advanced-security-and-cybercrime-postgraduate-parttime,"<a href=""http://www.napier.ac.uk/courses/msc-advanced-security-and-cybercrime-postgraduate-parttime"" target=""_blank"" >Advanced Security and Cybercrime MSc</a>"
Big Data Technologies MSc,Glasgow Caledonian University,"The Data Lab Scholarship, MSC Big Data Technology Scholarship",,6,Yes,,Peter Barrie,Yes,"Hadoop, SAS, R, Python, WEKA, IBM Watson Analytics, SQL, SPSS, Stata,","Big Data Landscape, Data Analytics, Cloud Computing and Web Services, Internet of Things, Big Data Platforms",12 months,Yes,24 months,2:2 or above,Computing or related subject,,http://www.gcu.ac.uk/study/postgraduate/courses/details/index.php/P02860-1FTA-1617/Big%20Data%20Technologies?utm_source=sebe&utm_medium=websearch&utm_term=10373&utm_content=88&utm_campaign=courses&loc=uk,"<a href=""http://www.gcu.ac.uk/study/postgraduate/courses/details/index.php/P02860-1FTA-1617/Big%20Data%20Technologies?utm_source=sebe&utm_medium=websearch&utm_term=10373&utm_content=88&utm_campaign=courses&loc=uk"" target=""_blank"">Big Data Technologies MSc</a>"
Data Science MSc,Heriot Watt University,Carnegie Cameron Taught Postgraduate Bursary,,,No,,Not available,No,"D3 Javascript, noSQL, SPARQL, OWL","Biologically Inspired Computation, Computer Network and Security, Data Mining and Machine Learning, Data Visualisation and Analytics, Big Data Management, Advanced Software Engineering, Conversational Agents and Spoken Language Processing",12 months,Yes,24 months,2:1 or above,Component of computing or IT that includes study of databases and programming,,http://www.macs.hw.ac.uk/cs/pgcourses/ds.htm,"<a href=""http://www.macs.hw.ac.uk/cs/pgcourses/ds.htm""  target=""_blank"">Data Science MSc</a>"
Data Science MSc,Robert Gordon University,"Carnegie Cameron Taught Postgraduate Bursary, RGU Merit Scholarship",,15,Yes,,Eyad Elyan ,Yes,"noSQL, MapReduce, Hadoop","Data Mining, Data Management, Professional Skills for Data Scientists, Data Warehousing, Intelligent Web Technologies, Professional Skills for Data Scientists, Data Science Development, Advanced Data Science",12 months,Yes,24 to 36 months,2:2 or above,"Discipline with computing, mathematics or statistics",,http://www.rgu.ac.uk/computing/study-options/postgraduate-taught-full-time/msc-data-science/,"<a href=""http://www.rgu.ac.uk/computing/study-options/postgraduate-taught-full-time/msc-data-science/"" target=""_blank"">Data Science MSc</a>"
"Data Analysis, Visualisation and Communication MSc",University of Aberdeen,,,,No,,Dr Wei Pang,No,"XML, XML Schema, AJAX, RDF, OWL","Data Management, Data Analysis and Visualisation, Research Methods and Data Analysis",12 months,No,,2:1 or above,"Computing science, economics, geography, psychology or sociology",,http://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/46/data-analysis-visualisation-and-communication/,"<a href=""http://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/46/data-analysis-visualisation-and-communication/"" target=""_blank"">Data Analysis, Visualisation and Communication MSc</a>"
Information Systems & Data Management MSc,University of Aberdeen,,,,No,,Dr Nigel Beacham,No,"Java, C, C++, XML, XML Schema, AJAX, RDF, OWL, NLTK, GATE","Semantic Web Engineering, Data Mining and Visualisation, Natural Language Generation, Information Extraction and Text Analytics, Innovation Strategies, Advanced Computer Science Workshop, Technological Scientific and Market Research",12 months,No,,2:2 or above,Computing science,,http://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/128/information-systems-and-data-management/,"<a href=""http://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/128/information-systems-and-data-management/"" target=""_blank"">Information Systems and Data Management</a>"
Data Engineering MSc,University of Dundee,"SFC Tuition Support, Dean's Postgraduate Taught Scholarship",,11,Yes,Prof. Mark Whitehorn,Mr Andy Cobley,Yes,"NoSQL, Cassandra, Neo4j, MongoDB, Hadoop, Spark, Python, R, Matlab, MapReduce, erlang","Introduction to Data Mining and Machine Learning, Programming Languages for Data Engineering, Business Intelligence Systems and Research Methods",12 months,No,,2:1 or above,Computing or related subject,,http://www.dundee.ac.uk/study/pg/data-engineering/,"<a href=""http://www.dundee.ac.uk/study/pg/data-engineering/"" target=""_blank"">Data Engineering MSc</a>"
Data Science MSc,University of Dundee,Dean's Postgraduate Taught Scholarship,,,No,Prof. Mark Whitehorn,Mr Andy Cobley,No,"NoSQL, Hadoop, Erlang, Storm, Matlab, MDX,","Big Data, Business Intelligent Systems, Data Analysis and Visualisation, Analytical Database Models and Design, Advanced Statistics and Data Mining",12 months,Yes,24 months,2:1 or above,Computing,,http://www.dundee.ac.uk/study/pg/data-science/,"<a href=""http://www.dundee.ac.uk/study/pg/data-science/"" target=""_blank"">Data Science MSc</a>"
Data Science MSc,University of Edinburgh,UK/EU Masters Scholarship,,,No,,Not available,No,"R, noSQL, Java, Matlab, Hadoop, MapReduce, Python","Machine Learning, Statistics and Optimization, Databases and Data Management, Applications",12 months,No,,2:1 or above,"Informatics, artificial intelligence, cognitive science, computer science, electrical engineering, linguistics, mathematics, philosophy, physics or psychology",,http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=902,"<a href=""http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=902"" target=""_blank"">Data Science MSc</a>"
Statistics with Data Science MSc,University of Edinburgh,"UK/EU Masters Scholarship, Highly Skilled Workforce Scholarship",,,No,,Prof. Ruth King,Yes,"R, BUGS/JAGS","Statistical Theory, Statistical Regression Models, Bayesian Theory, Statistical Programming, Bayesian Data Analysis, Likelihood and Generalised Linear Models",12 months,Yes,24 months to 36 months,2:1 or above,"Mathematics, engineering, computing science, physical or biological sciences, economics or business",,http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=916,"<a href=""http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=916"" target=""_blank"">Statistics with Data Science MSc</a>"
"Data Science, Technology & Innovation MSc",University of Edinburgh,UK/EU Masters Scholarship,,,No,,Marjorie Dunlop,No,"MapReduce, R, Python","Practical Introduction to Data Science, Practical Introduction to High Performance Computing, Social Shaping of Digital Research, Engaging with Digital Research, Understanding Data Visualisation, Introduction to Vision and Robotics",,Yes,6 years,2:1 or above,Any discipline,Yes,http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=906,"<a href=""http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=906"" target=""_blank"">Data Science, Technology and Innovation MSc</a>"
High Performance Computing with Data Science MSc,"EPCC, University of Edinburgh","Master's Scholarship in High Performance Computing, UK/EU Masters Scholarship",,,No,,,Yes,"C, Java, Python, Fortran 90, OpenMP","Fundamentals of Data Management, Message-Passing Programming, Programming Skills, Threaded Programming, Data Analytics with High Performance Computing, Software Development",12 months,Yes,24 months to 36 months,2:1 or above,Computing or related subject,,http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=871,"<a href=""http://www.ed.ac.uk/studying/postgraduate/degrees?id=107&r=site/view"" target=""_blank"">Artificial Intellignece MSc</a>"
Artificial Intelligence MSc,University of Edinburgh,UK/EU Masters Scholarship,,,No,,,,"Java, Python, ","Introduction to Java Programming, Intelligent Robotics, Agents, Knowledge and Data, Machine Learning and Natural Language Processing",12 months,Yes,24 months to 36 months,2:1 or above,"Informatics, artificial intelligence, cognitive science, computer science, electrical engineering, linguistics, mathematics, philosophy, physics or psychology",,http://www.ed.ac.uk/studying/postgraduate/degrees?id=107&r=site/view,"<a href=""http://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=871"" target=""_blank"">High Performance Computing with Data Science MSc</a>"
